Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2023-12-27,38850,46750,38850,44300,11451855,009420,한올바이오파마,KOSPI,7.577490281209704,5.110682071770655,0.0,-4.740406320541761,-11.512415349887133,-11.62528216704289
2024-05-31,34350,34800,29900,31550,2621365,009420,한올바이오파마,KOSPI,6.026391736555759,3.557922227290177,5.071315372424722,4.120443740095087,6.180665610142631,6.9730586370839935
2024-07-12,33600,37500,33600,37050,3033539,009420,한올바이오파마,KOSPI,5.367522368665043,5.131945109640576,1.8893387314439947,-1.214574898785425,-2.0242914979757085,-6.612685560053981
2024-10-10,39450,43150,39150,42700,4239885,009420,한올바이오파마,KOSPI,5.38069923829314,5.710762757977138,1.5222482435597189,7.962529274004685,4.332552693208431,11.475409836065573
2023-08-10,205000,211500,202500,211000,459244,004170,신세계,KOSPI,6.248493981026372,6.430250873451539,-2.3696682464454977,-0.7109004739336493,-4.502369668246446,-3.7914691943127963
2024-12-23,141700,144000,132500,134000,165738,004170,신세계,KOSPI,5.266941234793883,6.43598564504065,0.6716417910447761,-1.9402985074626864,,
2024-10-22,20000,25300,19830,25300,2954444,026960,동서,KOSPI,11.381307413225757,7.523700120398116,-16.99604743083004,-18.379446640316203,-6.91699604743083,8.300395256916996
2024-10-23,23200,23700,21000,21000,2213738,026960,동서,KOSPI,6.06599454215091,4.434920128850016,-1.4285714285714286,1.1904761904761905,31.428571428571427,32.142857142857146
2024-10-29,21250,26700,20800,23550,4102707,026960,동서,KOSPI,6.543913143964727,5.573686725288237,17.197452229299362,12.101910828025478,16.348195329087048,9.129511677282377
2024-10-30,23500,28650,23350,27600,7498587,026960,동서,KOSPI,7.513847248068465,6.130170460880022,-3.4420289855072466,-2.1739130434782608,0.5434782608695652,-5.797101449275362
2023-03-03,67900,68300,63400,63700,95329,009970,영원무역홀딩스,KOSPI,5.552811384169108,4.869334446457034,0.6279434850863422,8.16326530612245,7.535321821036106,4.866562009419153
2023-12-14,79100,82300,78100,80600,153272,009970,영원무역홀딩스,KOSPI,5.637145016577999,6.726379979286537,0.8684863523573202,-0.37220843672456577,-1.1166253101736971,-6.20347394540943
2024-02-29,71800,74200,70600,72400,1729926,383220,F&F,KOSPI,7.23908822922026,7.2754924302792,-3.591160220994475,-6.49171270718232,-5.801104972375691,-5.386740331491713
2024-07-17,59200,76400,58600,74000,3404663,383220,F&F,KOSPI,13.397510020106125,7.544391632279234,-5.9459459459459465,-12.432432432432433,-14.18918918918919,-22.162162162162165
2022-11-01,34000,37950,33050,35650,1983761,051600,한전KPS,KOSPI,7.047649126895704,6.610746153414227,-9.256661991584853,-8.274894810659186,-5.610098176718092,-2.524544179523142
